"month","price","dateSold","livingArea","bedrooms","bathrooms","yearBuilt","elevation","numPhoto","zeroPhoto","recent","roosevelt","combined","goodElem","chars","words","wordLen","r5","r7","r10","parcel","landValue","mf","mfArea","mfBed","mfBath","mfYear","a1","a2","a3","minLotApt","maxDensity","minLotOne","numDwellings","res","midElem","rating","Freq","seasonal","time","timeAbs","pr10","pr7","pr5","pacNSA","pacSA","usNSA","usSA","hiSA"
2018-04-01,1763875,29,2480,4,2,1957,80,-4,1,0,1,62.5,0,245,47,5.21276595744681,0,0,1,11807.4101904,11807.4101904,0,0,0,0,0,0,0,0,0,0,10000,1,1,1,9,3,0.478733840115788,29.4787338401158,351,11807.4101904,0,0,303.68,300.48,259.91,257.26,245.69
2018-04-01,1273192,27,1933,4,2.5,1954,117,-4,1,0,1,77.5,1,291,54,5.38888888888889,0,1,0,7539.05988,3769.52994,0,0,0,0,0,0,0,0,0,0,7500,2,1,0,9,3,0.448229341740411,27.4482293417404,353,0,7539.05988,0,303.68,300.48,259.91,257.26,245.69
2018-04-01,1000800,34,2246,4,3.5,1968,199,-1,1,0,1,77.5,1,296,54,5.48148148148148,0,1,0,8154.4141404,4077.2070702,0,0,0,0,0,0,0,0,0,0,7500,2,1,0,9,3,0.55243531316762,34.5524353131676,346,0,8154.4141404,0,303.68,300.48,259.91,257.26,245.69
2018-05-01,195000,59,525,1,1,1958,29,-4,1,0,1,62.5,0,284,55,5.16363636363636,0,0,0,7336.220562,366.8110281,1,525,1,1,1958,0,1,0,10000,0.0019,0,13.9388190678,0,1,9,4,0.849817091527528,59.8498170915275,321,0,0,0,305.62,301.27,263.03,258.74,245.69
2018-05-01,1101000,60,1266,3,2,1931,54,-3,1,0,1,85.5,1,759,132,5.75,0,1,0,4359.1171536,2179.5585768,0,0,0,0,0,0,0,0,0,0,7500,2,1,0,9,4,0.858763958275803,60.8587639582758,320,0,4359.1171536,0,305.62,301.27,263.03,258.74,245.69
2018-05-01,1885000,43,3155,4,3,1934,86,-4,1,0,1,85.5,1,293,54,5.42592592592593,0,1,0,6549.8458212,3274.9229106,0,0,0,0,0,0,0,0,0,0,7500,2,1,0,9,4,0.674443618832945,43.6744436188329,337,0,6549.8458212,0,305.62,301.27,263.03,258.74,245.69
2018-05-01,530000,47,936,2,2,1968,41,-4,1,0,1,62.5,0,900,146,6.16438356164384,0,0,0,10898.666262,544.9333131,1,936,2,2,1968,0,1,0,10000,0.0019,0,20.7074658978,0,1,9,4,0.723644038295912,47.7236440382959,333,0,0,0,305.62,301.27,263.03,258.74,245.69
2018-06-01,299000,96,680,2,1,1968,20,7,0,0,0,47,0,431,68,6.33823529411765,0,0,0,7761.1906152,388.05953076,1,680,2,1,1968,0,1,0,10000,0.0019,0,14.74626216888,0,0,5,12,0.99665890175417,96.9966589017542,284,0,0,0,307.01,303.38,264.7,259.89,245.69
2018-06-01,325000,77,563,1,1,1965,33,-4,1,0,1,62.5,0,399,69,5.78260869565217,0,0,0,8692.1510148,434.60755074,1,563,1,1,1965,0,1,0,10000,0.0019,0,16.51508692812,0,1,9,12,0.970063921851507,77.9700639218515,303,0,0,0,307.01,303.38,264.7,259.89,245.69
2018-06-01,1280000,76,2116,4,2,1956,71,-4,1,0,1,85.5,1,602,86,7,0,1,0,8266.1194044,4133.0597022,0,0,0,0,0,0,0,0,0,0,7500,2,1,0,9,12,0.965739937654855,76.9657399376549,304,0,8266.1194044,0,307.01,303.38,264.7,259.89,245.69
2018-06-01,259000,77,450,0,1,1973,65,2,0,0,1,62.5,0,446,68,6.55882352941176,0,0,0,9614.0030184,480.70015092,1,450,0,1,1973,0,1,0,10000,0.0019,0,18.26660573496,0,1,9,12,0.970063921851507,77.9700639218515,303,0,0,0,307.01,303.38,264.7,259.89,245.69
2018-06-01,1325000,78,2300,4,3,1958,101,-4,1,0,1,77.5,1,403,63,6.3968253968254,0,0,1,11157.9075036,11157.9075036,0,0,0,0,0,0,0,0,0,0,10000,1,1,0,9,12,0.97410045517242,78.9741004551724,302,11157.9075036,0,0,307.01,303.38,264.7,259.89,245.69
2018-06-01,1000000,88,2021,4,3.5,1959,81,-4,1,0,1,85.5,1,292,54,5.40740740740741,0,1,0,6128.1919908,3064.0959954,0,0,0,0,0,0,0,0,0,0,7500,2,1,0,9,12,0.998435421155564,88.9984354211556,292,0,6128.1919908,0,307.01,303.38,264.7,259.89,245.69
2018-06-01,1200000,85,1512,3,2,1962,73,-4,1,0,1,77.5,1,290,54,5.37037037037037,0,1,0,7380.5054004,3690.2527002,0,0,0,0,0,0,0,0,0,0,7500,2,1,0,9,12,0.994217906893952,85.994217906894,295,0,7380.5054004,0,307.01,303.38,264.7,259.89,245.69
2018-06-01,1300000,72,2407,3,3,1973,263,-4,1,0,1,77.5,1,173,34,5.08823529411765,0,0,0,49781.76192,24890.88096,0,0,0,0,0,0,0,0,0,0,5000,2,0,0,9,12,0.945596387427142,72.9455963874271,308,0,0,0,307.01,303.38,264.7,259.89,245.69
2018-06-01,990000,88,1226,3,2,1961,66,11,0,0,1,77.5,1,1053,183,5.75409836065574,0,1,0,7499.2817592,3749.6408796,0,0,0,0,0,0,0,0,0,0,7500,2,1,0,9,12,0.998435421155564,88.9984354211556,292,0,7499.2817592,0,307.01,303.38,264.7,259.89,245.69
2018-06-01,1485000,84,1673,3,3,1948,54,-4,1,0,1,85.5,1,784,131,5.98473282442748,0,1,0,4916.4338124,2458.2169062,0,0,0,0,0,0,0,0,0,0,7500,2,1,0,9,12,0.992222209417932,84.9922222094179,296,0,4916.4338124,0,307.01,303.38,264.7,259.89,245.69
2018-06-01,1326000,78,1864,2,2,1954,408,6,0,0,1,62.5,0,166,25,6.64,0,0,0,51553.1419524,25776.5709762,0,0,0,0,0,0,0,0,0,0,5000,2,0,1,9,12,0.97410045517242,78.9741004551724,302,0,0,0,307.01,303.38,264.7,259.89,245.69
2018-06-01,1300000,72,2199,3,2,1980,214,20,0,0,1,77.5,1,282,45,6.26666666666667,0,0,0,28739.97324,14369.98662,0,0,0,0,0,0,0,0,0,0,5000,2,0,0,9,12,0.945596387427142,72.9455963874271,308,0,0,0,307.01,303.38,264.7,259.89,245.69
2018-07-01,241500,117,463,1,1,1962,50,-4,1,0,1,62.5,0,679,111,6.11711711711712,0,0,0,8420.38758,421.019379,1,463,1,1,1962,0,1,0,10000,0.0019,0,15.998736402,0,1,9,7,0.903355802324684,117.903355802325,263,0,0,0,307.62,303.93,265.5,260.79,246.17
2018-07-01,1265000,111,1424,3,2,1979,60,-4,1,0,1,77.5,1,760,122,6.22950819672131,0,1,0,6722.039808,3361.019904,0,0,0,0,0,0,0,0,0,0,7500,2,1,0,9,7,0.942761143390421,111.94276114339,269,0,6722.039808,0,307.62,303.93,265.5,260.79,246.17
2018-07-01,1650000,110,3920,5,3,1961,64,-4,1,0,1,77.5,1,796,115,6.92173913043478,0,1,0,8108.227908,4054.113954,0,0,0,0,0,0,0,0,0,0,7500,2,1,0,9,7,0.948361580012172,110.948361580012,270,0,8108.227908,0,307.62,303.93,265.5,260.79,246.17
2018-07-01,600000,127,1221,2,2,1967,19,9,0,0,1,43,0,390,53,7.35849056603774,0,0,0,21434.3365896,428.686731792,1,1221,2,2,1967,0,0,1,15000,0.0028,0,60.01614245088,0,0,6,7,0.816538051445916,127.816538051446,253,0,0,0,307.62,303.93,265.5,260.79,246.17
2018-07-01,670000,104,1349,2,2,1981,23,-4,1,0,1,62.5,0,800,133,6.01503759398496,0,0,0,64951.2304848,3247.56152424,1,1349,2,2,1981,0,1,0,10000,0.0019,0,123.40733792112,0,1,9,7,0.976010550632368,104.976010550632,276,0,0,0,307.62,303.93,265.5,260.79,246.17
2018-07-01,1410492,112,2204,6,3,1958,67,-4,1,0,1,77.5,1,764,117,6.52991452991453,0,1,0,7580.0576808,3790.0288404,0,0,0,0,0,0,0,0,0,0,7500,2,1,0,9,7,0.936881346295432,112.936881346295,268,0,7580.0576808,0,307.62,303.93,265.5,260.79,246.17
2018-07-01,1500000,102,2753,5,4,1959,81,-4,1,0,1,77.5,1,294,55,5.34545454545455,0,1,0,9029.0218392,4514.5109196,0,0,0,0,0,0,0,0,0,0,7500,2,1,0,9,7,0.982926551979982,102.98292655198,278,0,9029.0218392,0,307.62,303.93,265.5,260.79,246.17
2018-08-01,1500000,148,3442,5,5,1954,177,-4,1,0,1,77.5,1,287,51,5.62745098039216,0,0,1,11138.8378068,11138.8378068,0,0,0,0,0,0,0,0,0,0,10000,1,1,0,9,7,0.559589262410177,148.55958926241,232,11138.8378068,0,0,309.75,306.78,266.16,262.19,246.17
2018-08-01,359000,155,613,2,1,1969,23,4,0,0,0,47,0,295,50,5.9,0,0,0,5778.4552848,288.92276424,1,613,2,1,1969,0,1,0,10000,0.0019,0,10.97906504112,0,0,5,7,0.455906693508459,155.455906693508,225,0,0,0,309.75,306.78,266.16,262.19,246.17
2018-08-01,750000,152,1362,3,2,2000,50,-3,1,0,1,62.5,0,288,55,5.23636363636364,0,0,0,10341.326952,517.0663476,1,1362,3,2,2000,0,1,0,10000,0.0019,0,19.6485212088,0,1,9,7,0.501241813445776,152.501241813446,228,0,0,0,309.75,306.78,266.16,262.19,246.17
2018-08-01,298000,154,580,1,1,1971,29,-4,1,0,1,43,0,148,21,7.04761904761905,0,0,0,13070.411046,261.40822092,1,580,1,1,1971,0,0,1,15000,0.0028,0,36.5971509288,0,0,6,7,0.471159507673864,154.471159507674,226,0,0,0,309.75,306.78,266.16,262.19,246.17
2018-08-01,1250000,145,1563,3,2,1924,62,-4,1,0,1,85.5,1,299,49,6.10204081632653,0,1,0,6482.87145,3241.435725,0,0,0,0,0,0,0,0,0,0,7500,2,1,0,9,7,0.601624063224923,145.601624063225,235,0,6482.87145,0,309.75,306.78,266.16,262.19,246.17
2018-08-01,933000,139,1430,5,2,1979,10,-4,1,0,1,43,0,242,44,5.5,1,0,0,4458.2601492,1114.5650373,0,0,0,0,0,0,0,0,0,0,5000,4,1,0,6,7,0.680773409477016,139.680773409477,241,0,0,4458.2601492,309.75,306.78,266.16,262.19,246.17
2018-08-01,1400000,161,1950,5,2,1955,52,-4,1,0,1,85.5,1,590,90,6.55555555555556,0,1,0,7260.2331912,3630.1165956,0,0,0,0,0,0,0,0,0,0,7500,2,1,0,9,7,0.361713730729768,161.36171373073,219,0,7260.2331912,0,309.75,306.78,266.16,262.19,246.17
2018-09-01,310000,166,584,1,1,1966,21,11,0,0,0,47,0,786,115,6.83478260869565,0,0,0,16713.6418152,835.68209076,1,584,1,1,1966,0,1,0,10000,0.0019,0,31.75591944888,0,0,5,8,0.280230675199216,166.280230675199,214,0,0,0,308.13,305.87,265.37,262.48,246.17
2018-09-01,375000,176,1028,2,2,1970,16,-4,1,0,0,47,0,290,55,5.27272727272727,0,0,0,8257.784634,412.8892317,1,1028,2,2,1970,0,1,0,10000,0.0019,0,15.6897908046,0,0,5,8,0.111659007121695,176.111659007122,204,0,0,0,308.13,305.87,265.37,262.48,246.17
2018-09-01,1342150,183,1828,4,2.5,1948,110,-4,1,0,1,77.5,1,788,120,6.56666666666667,0,0,1,9864.5318244,9864.5318244,0,0,0,0,0,0,0,0,0,0,10000,1,1,0,9,8,-0.00860699688868801,182.991393003111,197,9864.5318244,0,0,308.13,305.87,265.37,262.48,246.17
2018-09-01,1900000,167,3504,4,2.5,1998,81,-4,1,0,1,77.5,1,731,126,5.8015873015873,0,1,0,7860.1267008,3930.0633504,0,0,0,0,0,0,0,0,0,0,7500,2,1,0,9,8,0.263665492728007,167.263665492728,213,0,7860.1267008,0,308.13,305.87,265.37,262.48,246.17
2018-09-01,1135000,188,2279,4,2.5,2012,30,-4,1,0,1,85.5,1,227,42,5.40476190476191,1,0,0,4998.6376308,1249.6594077,0,0,0,0,0,0,0,0,0,0,5000,4,1,0,9,8,-0.0945367498171989,187.905463250183,192,0,0,4998.6376308,308.13,305.87,265.37,262.48,246.17
2018-09-01,349000,177,786,2,1,1966,73,-4,1,0,1,62.5,0,699,126,5.54761904761905,0,0,0,14930.0837136,746.50418568,1,786,2,1,1966,0,1,0,10000,0.0019,0,28.36715905584,0,1,9,8,0.0945367498171996,177.094536749817,203,0,0,0,308.13,305.87,265.37,262.48,246.17
2018-09-01,1395000,166,2582,3,3,1959,82,-4,1,0,1,77.5,1,694,126,5.50793650793651,0,1,0,8084.7525528,4042.3762764,0,0,0,0,0,0,0,0,0,0,7500,2,1,0,9,8,0.280230675199216,166.280230675199,214,0,8084.7525528,0,308.13,305.87,265.37,262.48,246.17
2018-09-01,317000,174,501,1,1,1969,21,-4,1,0,0,47,0,509,84,6.05952380952381,0,0,0,7518.6842544,375.93421272,1,501,1,1,1969,0,1,0,10000,0.0019,0,14.28550008336,0,0,5,8,0.145799196919875,174.14579919692,206,0,0,0,308.13,305.87,265.37,262.48,246.17
2018-10-01,2550000,204,4837,6,4,1960,91,-4,1,0,1,85.5,1,719,103,6.98058252427184,0,0,1,13642.3573308,13642.3573308,0,0,0,0,0,0,0,0,0,0,10000,1,1,0,9,5,-0.361713730729767,203.63828626927,176,13642.3573308,0,0,307.56,307.08,265.27,263.58,244.21
2018-10-01,849000,217,2020,5,3,1922,73,5,0,0,1,62.5,0,291,54,5.38888888888889,0,0,0,4220.0827812,211.00413906,0,0,0,0,0,0,1,0,10000,0.0019,0,8.01815728428,0,1,9,5,-0.559589262410176,216.44041073759,163,0,0,0,307.56,307.08,265.27,263.58,244.21
2018-10-01,1010000,216,1100,3,1,1952,54,-4,1,0,1,85.5,1,697,114,6.1140350877193,0,1,0,6977.6263656,3488.8131828,0,0,0,0,0,0,0,0,0,0,7500,2,1,0,9,5,-0.545240438540651,215.454759561459,164,0,6977.6263656,0,307.56,307.08,265.27,263.58,244.21
2018-10-01,299000,217,450,0,1,1970,34,-4,1,0,1,62.5,0,285,54,5.27777777777778,0,0,0,11330.1777204,566.50888602,1,450,0,1,1970,0,1,0,10000,0.0019,0,21.52733766876,0,1,9,5,-0.559589262410176,216.44041073759,163,0,0,0,307.56,307.08,265.27,263.58,244.21
2018-10-01,1965000,196,4862,5,5,1976,152,22,0,0,1,77.5,1,3904,585,6.67350427350427,0,0,1,11489.742792,11489.742792,0,0,0,0,0,0,0,0,0,0,10000,1,1,0,9,5,-0.230305670230612,195.769694329769,184,11489.742792,0,0,307.56,307.08,265.27,263.58,244.21
2018-11-01,2050000,251,4602,4,4,2003,142,53,0,0,1,77.5,1,482,92,5.23913043478261,0,0,1,11501.6307516,11501.6307516,0,0,0,0,0,0,0,0,0,0,10000,1,1,0,9,2,-0.924290722193093,250.075709277807,129,11501.6307516,0,0,308.19,308.14,265.95,265.01,244.21
2018-11-01,1160000,246,1230,3,2,1950,96,-4,1,0,1,77.5,1,369,62,5.95161290322581,0,0,1,11529.3327336,11529.3327336,0,0,0,0,0,0,0,0,0,0,10000,1,1,0,9,2,-0.888057322629493,245.111942677371,134,11529.3327336,0,0,308.19,308.14,265.95,265.01,244.21
2018-12-01,740000,281,1441,2,3,1991,43,-4,1,0,1,62.5,0,410,67,6.11940298507463,0,0,0,29243.923236,2924.3923236,1,1441,2,3,1991,1,0,0,7500,9e-04,0,26.3195309124,0,1,9,14,-0.992222209417932,280.007777790582,99,0,0,0,307.21,309.32,265.36,265.88,244.21
2018-12-01,1420000,280,3228,5,3,1948,88,-4,1,0,1,77.5,1,789,124,6.36290322580645,0,1,0,8193.3010236,4096.6505118,0,0,0,0,0,0,0,0,0,0,7500,2,1,0,9,14,-0.994217906893952,279.005782093106,100,0,8193.3010236,0,307.21,309.32,265.36,265.88,244.21
2018-12-01,1250000,254,2117,4,2,1930,99,-4,1,0,1,77.5,1,295,54,5.46296296296296,0,1,0,5932.5505272,2966.2752636,0,0,0,0,0,0,0,0,0,0,7500,2,1,0,9,14,-0.942761143390421,253.05723885661,126,0,5932.5505272,0,307.21,309.32,265.36,265.88,244.21
2018-12-01,1164645,260,2233,5,3.5,1945,38,-4,1,0,1,62.5,0,279,51,5.47058823529412,1,0,0,4854.8957292,1213.7239323,1,2233,5,3.5,1945,0,0,0,0,0,5000,4,1,1,9,14,-0.972118196629061,259.027881803371,120,0,0,4854.8957292,307.21,309.32,265.36,265.88,244.21
2018-12-01,888000,281,1847,3,2,1976,75,-4,1,0,1,77.5,1,296,56,5.28571428571429,0,1,0,33646.358196,16823.179098,0,0,0,0,0,0,0,0,0,0,7500,2,1,0,9,14,-0.992222209417932,280.007777790582,99,0,33646.358196,0,307.21,309.32,265.36,265.88,244.21
2018-12-01,385000,274,713,1,1,1972,66,-4,1,0,1,62.5,0,560,102,5.49019607843137,0,0,0,57881.1223188,2894.05611594,1,713,1,1,1972,0,1,0,10000,0.0019,0,109.97413240572,0,1,9,14,-0.99999073973619,273.000009260264,106,0,0,0,307.21,309.32,265.36,265.88,244.21
2018-12-01,1380000,277,1936,7,5,1922,40,-4,1,0,1,85.5,1,298,54,5.51851851851852,1,0,0,8385.7991976,2096.4497994,0,0,0,0,0,0,0,0,0,0,5000,4,1,0,9,14,-0.998435421155564,276.001564578844,103,0,0,8385.7991976,307.21,309.32,265.36,265.88,244.21
2018-12-01,2000000,281,5180,4,4,2007,65,-4,1,0,1,77.5,1,792,124,6.38709677419355,0,1,0,40598.8164648,20299.4082324,0,0,0,0,0,0,0,0,0,0,7500,2,1,0,9,14,-0.992222209417932,280.007777790582,99,0,40598.8164648,0,307.21,309.32,265.36,265.88,244.21
2018-12-01,1265000,258,1686,4,3,1957,75,-4,1,0,1,85.5,1,186,30,6.2,0,1,0,7853.1196392,3926.5598196,0,0,0,0,0,0,0,0,0,0,7500,2,1,0,9,14,-0.963470548564149,257.036529451436,122,0,7853.1196392,0,307.21,309.32,265.36,265.88,244.21
2018-12-01,1100000,258,1466,3,2,1941,85,-4,1,0,1,77.5,1,514,82,6.26829268292683,0,1,0,6451.8332076,3225.9166038,0,0,0,0,0,0,0,0,0,0,7500,2,1,0,9,14,-0.963470548564149,257.036529451436,122,0,6451.8332076,0,307.21,309.32,265.36,265.88,244.21
2018-12-01,1100000,267,2314,4,4,1952,48,2,0,0,1,62.5,0,548,97,5.64948453608247,1,0,0,5261.1084108,1315.2771027,0,0,0,0,0,0,0,0,0,0,5000,4,1,1,9,14,-0.993256849267414,266.006743150733,113,0,0,5261.1084108,307.21,309.32,265.36,265.88,244.21
2018-12-01,917500,257,1518,2,2,1990,28,-4,1,0,1,62.5,0,682,107,6.37383177570093,0,0,0,18314.7218496,915.73609248,1,1518,2,2,1990,0,1,0,10000,0.0019,0,34.79797151424,0,1,9,14,-0.958717816987296,256.041282183013,123,0,0,0,307.21,309.32,265.36,265.88,244.21
2018-12-01,300000,265,447,0,1,1960,29,14,0,0,1,62.5,0,285,55,5.18181818181818,0,0,0,9402.33888,470.116944,1,447,0,1,1960,0,1,0,10000,0.0019,0,17.864443872,0,1,9,14,-0.98867759023234,264.011322409768,115,0,0,0,307.21,309.32,265.36,265.88,244.21
2018-12-01,990000,279,1421,3,1,1937,10,16,0,0,1,43,0,527,85,6.2,1,0,0,5068.6272252,1267.1568063,0,0,0,0,0,0,0,0,0,0,5000,4,1,0,6,14,-0.995918996147179,278.004081003853,101,0,0,5068.6272252,307.21,309.32,265.36,265.88,244.21
2019-01-01,780000,309,980,2,2.5,1978,53,0,1,0,1,85.5,1,206,32,6.4375,0,0,0,18314.2296216,1831.42296216,1,980,2,2.5,1978,1,0,0,7500,9e-04,0,16.48280665944,0,0,9,8,-0.821476553302415,308.178523446698,71,0,0,0,308.15,310.21,265.94,267.16,248.62
2019-01-01,1725000,284,3526,5,3,1969,478,-4,1,0,1,62.5,0,117,20,5.85,0,0,0,37374.608502,18687.304251,0,0,0,0,0,0,0,0,0,0,5000,2,0,1,9,8,-0.984473816752092,283.015526183248,96,0,0,0,308.15,310.21,265.94,267.16,248.62
2019-01-01,950000,302,1442,4,2,1935,35,-4,1,0,1,62.5,0,622,99,6.28282828282828,1,0,0,3452.1687684,863.0421921,0,0,0,0,0,0,0,0,0,0,5000,4,1,1,9,8,-0.884067509943364,301.115932490057,78,0,0,3452.1687684,308.15,310.21,265.94,267.16,248.62
2019-01-01,1105000,313,1636,3,3,1937,110,-4,1,0,1,62.5,0,298,55,5.41818181818182,0,0,1,12872.559348,12872.559348,0,0,0,0,0,0,0,0,0,0,10000,1,1,1,9,8,-0.780295851070776,312.219704148929,67,12872.559348,0,0,308.15,310.21,265.94,267.16,248.62
2019-01-01,1935000,298,3068,4,3,1929,102,-4,1,0,1,85.5,1,699,103,6.78640776699029,0,0,1,9992.7428436,9992.7428436,0,0,0,0,0,0,0,0,0,0,10000,1,1,0,9,8,-0.914127988185334,297.085872011815,82,9992.7428436,0,0,308.15,310.21,265.94,267.16,248.62
2019-01-01,1275000,286,1464,4,3,2011,202,-4,1,0,1,77.5,1,767,135,5.68148148148148,0,0,1,10288.013868,10288.013868,0,0,0,0,0,0,0,0,0,0,10000,1,1,0,9,8,-0.977848341505657,285.022151658494,94,10288.013868,0,0,308.15,310.21,265.94,267.16,248.62
2019-01-01,624502,298,800,3,1.5,1951,28,5,0,0,1,62.5,0,138,21,6.57142857142857,0,0,0,7368.6557736,368.43278868,1,800,3,1.5,1951,0,1,0,10000,0.0019,0,14.00044596984,0,1,9,8,-0.914127988185334,297.085872011815,82,0,0,0,308.15,310.21,265.94,267.16,248.62
2019-01-01,245000,302,592,1,1,1954,17,3,0,0,0,47,0,486,92,5.28260869565217,0,0,0,7848.196488,392.4098244,1,592,1,1,1954,0,1,0,10000,0.0019,0,14.9115733272,0,0,5,8,-0.884067509943364,301.115932490057,78,0,0,0,308.15,310.21,265.94,267.16,248.62
2019-02-01,1150000,326,1904,4,3,1992,142,-4,1,0,1,85.5,1,747,125,5.976,0,0,1,11457.4308552,11457.4308552,0,0,0,0,0,0,0,0,0,0,10000,1,1,0,9,5,-0.622046748440868,325.377953251559,54,11457.4308552,0,0,310.5,310.84,267.85,268.47,248.62
2019-02-01,1820000,329,3859,4,3,2005,151,-4,1,0,1,77.5,1,41,4,10.25,0,0,1,10219.6020168,10219.6020168,0,0,0,0,0,0,0,0,0,0,10000,1,1,0,9,5,-0.580800273453801,328.419199726546,51,10219.6020168,0,0,310.5,310.84,267.85,268.47,248.62
2019-02-01,1050000,341,2401,4,4,1960,119,-4,1,0,1,77.5,1,749,121,6.1900826446281,0,1,0,7498.2432888,3749.1216444,0,0,0,0,0,0,0,0,0,0,7500,2,1,0,9,5,-0.401487989205974,340.598512010794,39,0,7498.2432888,0,310.5,310.84,267.85,268.47,248.62
2019-02-01,1600000,337,3392,6,4,1917,61,-4,1,0,1,85.5,1,294,54,5.44444444444444,0,1,0,11429.420904,5714.710452,0,0,0,0,0,0,0,0,0,0,7500,2,1,0,9,5,-0.463550270902851,336.536449729097,43,0,11429.420904,0,310.5,310.84,267.85,268.47,248.62
